brand,colour,avg_rating
anouk,maroon,3.553571429
levis,white,4.565217391
panchhi,sea green,4.125
aarika,red,4.3125
h&m,beige,4.5
all about you,rust,3.555555556
iki chic,blue,4.277777778
joe hazel,black,5
alaya by stage3,black,4.850051975
indian heritage,pink,4.70010395
h&m,green,4.550155925
tokyo talkies,mustard,4.4002079
sassafras,red,3.97254902
roadster,olive,3.819607844
stylee lifestyle,navy blue,3.666666667
rute,white,3.857142857
sztori,maroon,4.8125
roadster,blue,4.25
shae by sassafras,red,4.4
minos,pink,4.09382716
warthy ent,blue,3.787654321
montrez,blue,3.481481481
jc collection,grey,3.593650793
lc waikiki,red,3.705820106
baisacrafts,red,3.817989418
charukriti,grey,3.93015873
ginger by lifestyle,beige,4.042328042
allen solly woman,pink,4.154497355
style quotient,green,4.266666667
clora creation,white,4.049180328
here&now,white,4.55
tokyo talkies,olive,3.942446043
indo era,yellow,4.144257703
soch,pink,3.951561476
mitera,maroon,3.758865248
fablestreet,green,3.285714286
anouk,navy blue,4.555555556
minos,coffee brown,4.501798529
campus sutra,lavender,4.448041502
forever 21,white,4.394284475
monte carlo,blue,4.340527448
mitera,peach,4.286770421
zivame,pink,4.233013394
indya,peach,4.179256367
h&m,beige,4.12549934
roadster,navy blue,4.071742313
ethnic junction,green,4.434782609
kassually,navy blue,4.15819209
pluss,black,4.392857143
fablestreet,black,4.4
desi weavess,green,4.325
suta,olive,4.469135802
sassafras,red,4
sangria,blue,4.5
levis,blue,5
soch,black,4.753134796
jinfo,pink,4.506269593
melange by lifestyle,blue,4.259404389
heemara,purple,4.012539185
woowzerz,teal,4
vero moda,pink,4
allen solly woman,black,4
berrylush,black,4.166417539
anouk,purple,4.043052838
rute,grey melange,4.210526316
tokyo talkies,green,3.509090909
new balance,pink,3.879545455
juniper,green,4.25
mango,blue,3.857142857
vastranand,lavender,4.282608696
dupatta bazaar,off white,4.571428571
label ritu kumar,teal,4.4
sirikit,black,3.641509434
white fire,green,4.5
mango,yellow,3.5
stylee lifestyle,black,3.620568336
v-mart,fuchsia,3.741136671
h&m,green,3.861705007
crozo by cantabil,grey,3.982273342
